time,model_id,model_name,port_name,data,,,,,,,,,,,,,
0,6,(1,1),,<4.5,0,0,0,0>,,,,,,,,
0,7,(2,1),outputNeighborhood,<3.5,1,0,0,0>,,,,,,,,
0,7,(2,1),,<3.5,1,0,0,1>,,,,,,,,
0,8,(3,0),,<500,2,0,0,0>,,,,,,,,
0,9,(3,2),,<2,0,0,0,0>,,,,,,,,
0,10,(1,2),,<4,0,0,0,0>,,,,,,,,
0,12,(2,3),outputNeighborhood,<3.5,1,0,0,0>,,,,,,,,
0,12,(2,3),,<3.5,1,0,0,1>,,,,,,,,
0,18,(1,0),,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
0,24,(2,4),,<500,2,0,0,0>,,,,,,,,
0,25,(3,4),,<500,2,0,0,0>,,,,,,,,
0,1,(1,3),outputNeighborhood,<4.5,0,0,0,0>,,,,,,,,
0,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
0,2,(2,2),,<3,0,0,0,0>,,,,,,,,
0,6,(1,1),outputNeighborhood,<4.5,0,0,0,0>,,,,,,,,
0,6,(1,1),,<4.5,0,0,0,0>,,,,,,,,
0,7,(2,1),,<3.5,1,8,0,1>,,,,,,,,
0,10,(1,2),outputNeighborhood,<4,0,0,0,0>,,,,,,,,
0,10,(1,2),,<4,0,0,0,0>,,,,,,,,
0,12,(2,3),,<3.5,1,6,0,1>,,,,,,,,
0,13,(0,0),,<500,2,0,0,0>,,,,,,,,
0,14,(0,1),,<500,2,0,0,0>,,,,,,,,
0,15,(0,2),,<500,2,0,0,0>,,,,,,,,
0,16,(0,4),,<500,2,0,0,0>,,,,,,,,
0,17,(0,3),,<500,2,0,0,0>,,,,,,,,
0,18,(1,0),,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,24,(2,4),,<500,2,0,0,0>,,,,,,,,
1,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
1,2,(2,2),,<3,0,0,0,0>,,,,,,,,
1,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
1,6,(1,1),,<4.5,0,0,0,0>,,,P,,,,,
1,7,(2,1),outputNeighborhood,<3.5,1,8,0,1>,,,,P,,,,
1,7,(2,1),,<3.5,1,8,0,1>,,,,,,,,
1,8,(3,0),,<500,2,0,0,0>,,,,,,,,
1,9,(3,2),,<2,0,0,3,0>,,,,,,,,
1,10,(1,2),,<4,0,0,0,0>,,,,,,,,
1,12,(2,3),outputNeighborhood,<3.5,1,6,0,1>,,,,,,,,
1,12,(2,3),,<3.5,1,6,0,1>,,,,,,,,
1,18,(1,0),,<500,2,0,0,0>,,,,,,,,
1,20,(1,4),,<500,2,0,0,0>,,,,,,,,
1,21,(2,0),,<500,2,0,0,0>,,,,,,,,
1,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
1,24,(2,4),,<500,2,0,0,0>,,,,,,,,
1,25,(3,4),,<500,2,0,0,0>,,,,,,,,
1,2,(2,2),,<3,0,0,0,0>,,,,,,,,
1,3,(4,3),,<500,2,0,0,0>,,,,,,,,
1,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
1,5,(4,1),,<500,2,0,0,0>,,,,,,,,
1,7,(2,1),,<3.5,1,0,0,1>,,,,,,,,
1,9,(3,2),outputNeighborhood,<2,0,0,3,0>,,,,,,,,
1,9,(3,2),,<2,1,0,0,1>,,,,,,,,
1,11,(4,2),,<1,0,0,0,0>,,,,,,,,
1,12,(2,3),,<3.5,0,0,0,1>,,,,,,,,
1,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
2,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
2,2,(2,2),,<3,0,0,0,0>,,,,,,,,
2,3,(4,3),,<500,2,0,0,0>,,,,,,,,
2,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
2,5,(4,1),,<500,2,0,0,0>,,,P7,,,,,
2,6,(1,1),,<4.5,0,0,0,0>,,,,P7,,,,
2,7,(2,1),outputNeighborhood,<3.5,1,0,0,1>,,,,,,,,
2,7,(2,1),,<3.5,1,7,0,1>,,,,,,,,
2,8,(3,0),,<500,2,0,0,0>,,,,,,,,
2,9,(3,2),outputNeighborhood,<2,1,0,0,1>,,,,,,,,
2,9,(3,2),,<2,1,7,0,1>,,,,,,,,
2,10,(1,2),,<4,0,0,0,0>,,,,,,,,
2,11,(4,2),,<1,0,0,0,0>,,,,,,,,
2,12,(2,3),outputNeighborhood,<3.5,0,0,0,1>,,,,,,,,
2,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
2,18,(1,0),,<500,2,0,0,0>,,,,,,,,
2,20,(1,4),,<500,2,0,0,0>,,,,,,,,
2,21,(2,0),,<500,2,0,0,0>,,,,,,,,
2,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
2,24,(2,4),,<500,2,0,0,0>,,,,,,,,
2,25,(3,4),,<500,2,0,0,0>,,,,,,,,
2,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
