time,model_id,model_name,port_name,data,,,,,,,,,,,,
2,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
2,4,(4,3),,<500,2,0,0,0>,,,,,,,
2,5,(3,3),,<2.5,1,4,0,1>,,,,,,,
2,6,(4,1),,<500,2,0,0,0>,,,,,,,
2,11,(4,2),outputNeighborhood,<1,0,0,0,0>,,,,,,,
2,11,(4,2),,<1,0,0,0,0>,,,,,,,
2,12,(3,2),,<2,0,0,0,0>,,,,,,,
2,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
3,4,(4,3),,<500,2,0,0,0>,,,,,,,
3,5,(3,3),outputNeighborhood,<2.5,1,4,0,1>,,,,,,,
3,5,(3,3),,<2.5,1,4,0,1>,,,,,,,
3,6,(4,1),,<500,2,0,0,0>,,,,P,,,
3,7,(2,2),,<3,0,0,0,0>,,,,,,,
3,9,(2,3),,<3.5,0,0,0,0>,,,,,,,
3,11,(4,2),outputNeighborhood,<1,0,0,0,1>,,,,,,,
3,11,(4,2),,<1,0,0,0,0>,,,,,,,
3,12,(3,2),,<2,0,0,5,0>,,,,,,,
3,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
3,22,(4,4),,<500,2,0,0,0>,,,,,,,
3,23,(2,4),,<500,2,0,0,0>,,,,,,,
3,25,(3,4),,<500,2,0,0,0>,,,,,,,
3,2,(2,1),,<3.5,0,0,0,0>,,,,,,,
3,4,(4,3),,<500,2,0,0,0>,,,,,,,
3,5,(3,3),,<2.5,0,0,0,1>,,,,,,,
3,6,(4,1),,<500,2,0,0,0>,,,,,,,
3,7,(2,2),,<3,0,0,0,0>,,,,,,,
3,9,(2,3),,<3.5,0,0,0,0>,,,,,,,
3,11,(4,2),,<1,0,0,0,0>,,,,,,,
3,12,(3,2),outputNeighborhood,<2,0,0,5,0>,,,,,,,
3,12,(3,2),,<2,1,0,0,1>,,,,,,,
3,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
4,2,(2,1),,<3.5,0,0,0,0>,,,,,,,
4,4,(4,3),,<500,2,0,0,0>,,,,,,,
4,5,(3,3),outputNeighborhood,<2.5,0,0,0,1>,,,,,,,
4,5,(3,3),,<2.5,0,0,0,0>,,,,P7,,,
4,6,(4,1),,<500,2,0,0,0>,,,,,,,
4,7,(2,2),,<3,0,0,0,0>,,,,,,,
4,9,(2,3),,<3.5,0,0,0,0>,,,,,,,
4,11,(4,2),,<1,0,0,0,0>,,,,,,,
4,12,(3,2),outputNeighborhood,<2,1,0,0,1>,,,,,,,
4,12,(3,2),,<2,1,7,0,1>,,,,,,,
4,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
4,22,(4,4),,<500,2,0,0,0>,,,,,,,
4,23,(2,4),,<500,2,0,0,0>,,,,,,,
4,25,(3,4),,<500,2,0,0,0>,,,,,,,
4,4,(4,3),,<500,2,0,0,0>,,,,,,,
4,5,(3,3),outputNeighborhood,<2.5,0,0,0,0>,,,,,,,
4,5,(3,3),,<2.5,0,0,0,0>,,,,,,,
4,7,(2,2),,<3,0,0,0,0>,,,,,,,
4,9,(2,3),,<3.5,0,0,0,0>,,,,,,,
4,11,(4,2),,<1,0,0,0,0>,,,,,,,
4,12,(3,2),,<2,1,7,0,1>,,,,,,,
4,22,(4,4),,<500,2,0,0,0>,,,,,,,
4,23,(2,4),,<500,2,0,0,0>,,,,,,,
4,25,(3,4),,<500,2,0,0,0>,,,,,,,
5,2,(2,1),,<3.5,0,0,0,0>,,,,,,,
5,4,(4,3),,<500,2,0,0,0>,,,,,,,
5,5,(3,3),,<2.5,0,0,0,0>,,,,,,,
5,6,(4,1),,<500,2,0,0,0>,,,,,,,
5,7,(2,2),,<3,0,0,0,0>,,,,P,,,
5,9,(2,3),,<3.5,0,0,0,0>,,,,,,,
5,11,(4,2),,<1,0,0,2,0>,,,,,,,
5,12,(3,2),outputNeighborhood,<2,1,7,0,1>,,,,,,,
5,12,(3,2),,<2,1,7,0,1>,,,,,,,
5,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
5,4,(4,3),,<500,2,0,0,0>,,,,,,,
5,5,(3,3),,<2.5,0,0,0,0>,,,,,,,
5,6,(4,1),,<500,2,0,0,0>,,,,,,,
5,11,(4,2),outputNeighborhood,<1,0,0,2,0>,,,,,,,
5,11,(4,2),,<1,1,0,0,1>,,,,,,,
5,12,(3,2),,<2,0,0,0,1>,,,,,,,
5,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
6,2,(2,1),,<3.5,0,0,0,0>,,,,,,,
6,4,(4,3),,<500,2,0,0,0>,,,,,,,
6,5,(3,3),,<2.5,0,0,0,0>,,,,,,,
6,6,(4,1),,<500,2,0,0,0>,,,,,,,
6,7,(2,2),,<3,0,0,0,0>,,,,,,,
6,9,(2,3),,<3.5,0,0,0,0>,,,,,,,
6,11,(4,2),outputNeighborhood,<1,1,0,0,1>,,,,,,,
6,11,(4,2),,<1,0,0,0,1>,,,,,,,
6,12,(3,2),outputNeighborhood,<2,0,0,0,1>,,,,,,,
