time,model_id,model_name,port_name,data,,,,,,,,,,,,,,
0,3,(3,0),,<500,2,0,0,0>,,,,,,,,,
0,4,(2,0),,<500,2,0,0,0>,,,,,,,,,
0,5,(4,0),,<500,2,0,0,0>,,,,,,,,,
0,7,(4,4),,<500,2,0,0,0>,,,,,,,,,
0,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
0,9,(3,1),outputNeighborhood,<2.5,1,0,0,0>,,,,,,,,,
0,9,(3,1),,<2.5,1,8,0,1>,,,,,,,,,
0,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
0,11,(3,3),outputNeighborhood,<2.5,1,0,0,0>,,,,,,,,,
0,11,(3,3),,<2.5,1,0,0,1>,,,,,,,,,
0,13,(2,2),,<3,1,0,0,0>,,,,,,,,,
0,16,(2,1),,<3.5,1,0,0,0>,,,,,,,,,
0,18,(2,3),,<3.5,0,0,0,0>,,,,,,,,,
0,19,(3,2),outputNeighborhood,<2,0,0,0,0>,,,,,,,,,
0,19,(3,2),,<2,0,0,0,0>,,,,,,,,,
0,20,(4,2),,<1,0,0,0,0>,,,,,,,,,
0,2,(3,4),,<500,2,0,0,0>,,,,,,,,,
0,3,(3,0),,<500,2,0,0,0>,,,,,,,,,
0,4,(2,0),,<500,2,0,0,0>,,,,,,,,,
0,6,(1,4),,<500,2,0,0,0>,,,,,,,,,
0,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
0,9,(3,1),,<2.5,1,8,0,1>,,,,,,,,,
0,11,(3,3),,<2.5,1,6,0,1>,,,,,,,,,
0,13,(2,2),outputNeighborhood,<3,1,0,0,0>,,,,,,,,,
0,13,(2,2),,<3,1,7,0,1>,,,,,,,,,
0,14,(1,3),,<4.5,1,0,0,0>,,,,,,,,,
0,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
0,16,(2,1),outputNeighborhood,<3.5,1,0,0,0>,,,,,,,,,
0,16,(2,1),,<3.5,1,8,0,1>,,,,,,,,,
0,17,(1,1),,<4.5,1,0,0,0>,,,,,,,,,
0,18,(2,3),outputNeighborhood,<3.5,0,0,0,0>,,,,,,,,,
0,18,(2,3),,<3.5,0,0,0,0>,,,,,,,,,
0,19,(3,2),,<2,0,0,0,0>,,,,,,,,,
0,21,(1,2),,<4,1,0,0,0>,,,,,,,,,
0,4,(2,0),,<500,2,0,0,0>,,,,,,,,,
0,6,(1,4),,<500,2,0,0,0>,,,,,,,,,
0,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
0,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
0,13,(2,2),,<3,1,7,0,1>,,,,,,,,,
0,14,(1,3),outputNeighborhood,<4.5,1,0,0,0>,,,,,,,,,
0,14,(1,3),,<4.5,1,7,0,1>,,,,,,,,,
0,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
0,16,(2,1),,<3.5,1,8,0,1>,,,,,,,,,
0,17,(1,1),outputNeighborhood,<4.5,1,0,0,0>,,,,,,,,,
0,17,(1,1),,<4.5,1,0,0,1>,,,,,,,,,
0,18,(2,3),,<3.5,0,0,0,0>,,,,,,,,,
0,21,(1,2),outputNeighborhood,<4,1,0,0,0>,,,,,,,,,
0,21,(1,2),,<4,1,8,0,1>,,,,,,,,,
0,22,(0,0),,<500,2,0,0,0>,,,,,,,,,
0,23,(0,1),,<500,2,0,0,0>,,,,,,,,,
0,24,(0,4),,<500,2,0,0,0>,,,,,,,,,
0,25,(0,3),,<500,2,0,0,0>,,,,,,,,,
1,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
1,2,(3,4),,<500,2,0,0,0>,,,,,,,,,
1,3,(3,0),,<500,2,0,0,0>,,,,P,,P,,,
1,4,(2,0),,<500,2,0,0,0>,,,,,P,P,,,
1,5,(4,0),,<500,2,0,0,0>,,,,,P,P,,,
1,6,(1,4),,<500,2,0,0,0>,,,,,P,,,,
1,7,(4,4),,<500,2,0,0,0>,,,,,,,,,
1,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
1,9,(3,1),outputNeighborhood,<2.5,1,8,0,1>,,,,,,,,,
1,9,(3,1),,<2.5,1,8,0,1>,,,,,,,,,
1,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
1,11,(3,3),outputNeighborhood,<2.5,1,6,0,1>,,,,,,,,,
1,11,(3,3),,<2.5,1,6,0,1>,,,,,,,,,
1,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
1,13,(2,2),outputNeighborhood,<3,1,7,0,1>,,,,,,,,,
1,13,(2,2),,<3,1,7,0,1>,,,,,,,,,
1,14,(1,3),outputNeighborhood,<4.5,1,7,0,1>,,,,,,,,,
1,14,(1,3),,<4.5,1,7,0,1>,,,,,,,,,
1,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
1,16,(2,1),outputNeighborhood,<3.5,1,8,0,1>,,,,,,,,,
1,16,(2,1),,<3.5,1,8,0,1>,,,,,,,,,
1,17,(1,1),outputNeighborhood,<4.5,1,0,0,1>,,,,,,,,,
1,17,(1,1),,<4.5,1,0,0,1>,,,,,,,,,
1,18,(2,3),,<3.5,0,0,1,0>,,,,,,,,,
1,19,(3,2),,<2,0,0,1,0>,,,,,,,,,
1,20,(4,2),,<1,0,0,1,0>,,,,,,,,,
1,21,(1,2),outputNeighborhood,<4,1,8,0,1>,,,,,,,,,
1,21,(1,2),,<4,1,8,0,1>,,,,,,,,,
1,22,(0,0),,<500,2,0,0,0>,,,,,,,,,
1,23,(0,1),,<500,2,0,0,0>,,,,,,,,,
1,24,(0,4),,<500,2,0,0,0>,,,,,,,,,
1,25,(0,3),,<500,2,0,0,0>,,,,,,,,,
1,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
1,2,(3,4),,<500,2,0,0,0>,,,,,,,,,
1,6,(1,4),,<500,2,0,0,0>,,,,,,,,,
1,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
1,9,(3,1),,<2.5,0,0,0,1>,,,,,,,,,
1,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
1,11,(3,3),,<2.5,1,0,0,1>,,,,,,,,,
1,13,(2,2),,<3,1,0,0,1>,,,,,,,,,
1,14,(1,3),,<4.5,1,0,0,1>,,,,,,,,,
1,16,(2,1),,<3.5,0,0,0,1>,,,,,,,,,
1,18,(2,3),outputNeighborhood,<3.5,0,0,1,0>,,,,,,,,,
1,18,(2,3),,<3.5,1,0,0,1>,,,,,,,,,
1,19,(3,2),outputNeighborhood,<2,0,0,1,0>,,,,,,,,,
1,19,(3,2),,<2,1,0,0,1>,,,,,,,,,
1,20,(4,2),outputNeighborhood,<1,0,0,1,0>,,,,,,,,,
1,20,(4,2),,<1,1,0,0,1>,,,,,,,,,
1,21,(1,2),,<4,0,0,0,1>,,,,,,,,,
2,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
2,2,(3,4),,<500,2,0,0,0>,,,,P7,,P4,,,
2,3,(3,0),,<500,2,0,0,0>,,,,,P6,P,,,
2,4,(2,0),,<500,2,0,0,0>,,,,,P7,P6,,,
2,5,(4,0),,<500,2,0,0,0>,,,,,,,,,
2,6,(1,4),,<500,2,0,0,0>,,,,,,,,,
2,7,(4,4),,<500,2,0,0,0>,,,,,,,,,
2,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
2,9,(3,1),outputNeighborhood,<2.5,0,0,0,1>,,,,,,,,,
2,9,(3,1),,<2.5,0,0,0,0>,,,,,,,,,
2,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
2,11,(3,3),outputNeighborhood,<2.5,1,0,0,1>,,,,,,,,,
2,11,(3,3),,<2.5,1,0,0,1>,,,,,,,,,
2,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
2,13,(2,2),outputNeighborhood,<3,1,0,0,1>,,,,,,,,,
2,13,(2,2),,<3,1,6,0,1>,,,,,,,,,
2,14,(1,3),outputNeighborhood,<4.5,1,0,0,1>,,,,,,,,,
2,14,(1,3),,<4.5,1,4,0,1>,,,,,,,,,
2,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
2,16,(2,1),outputNeighborhood,<3.5,0,0,0,1>,,,,,,,,,
2,16,(2,1),,<3.5,0,0,0,0>,,,,,,,,,
2,17,(1,1),,<4.5,1,7,0,1>,,,,,,,,,
2,18,(2,3),outputNeighborhood,<3.5,1,0,0,1>,,,,,,,,,
2,18,(2,3),,<3.5,1,0,0,1>,,,,,,,,,
2,19,(3,2),outputNeighborhood,<2,1,0,0,1>,,,,,,,,,
2,19,(3,2),,<2,1,0,0,1>,,,,,,,,,
2,20,(4,2),outputNeighborhood,<1,1,0,0,1>,,,,,,,,,
2,20,(4,2),,<1,0,0,0,1>,,,,,,,,,
2,21,(1,2),outputNeighborhood,<4,0,0,0,1>,,,,,,,,,
2,21,(1,2),,<4,0,0,0,0>,,,,,,,,,
2,23,(0,1),,<500,2,0,0,0>,,,,,,,,,
2,24,(0,4),,<500,2,0,0,0>,,,,,,,,,
2,25,(0,3),,<500,2,0,0,0>,,,,,,,,,
2,3,(3,0),,<500,2,0,0,0>,,,,,,,,,
2,4,(2,0),,<500,2,0,0,0>,,,,,,,,,
2,5,(4,0),,<500,2,0,0,0>,,,,,,,,,
2,9,(3,1),outputNeighborhood,<2.5,0,0,0,0>,,,,,,,,,
2,9,(3,1),,<2.5,0,0,0,0>,,,,,,,,,
2,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
2,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
2,13,(2,2),,<3,1,6,0,1>,,,,,,,,,
2,14,(1,3),,<4.5,1,4,0,1>,,,,,,,,,
2,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
2,16,(2,1),outputNeighborhood,<3.5,0,0,0,0>,,,,,,,,,
2,16,(2,1),,<3.5,0,0,0,0>,,,,,,,,,
2,17,(1,1),,<4.5,1,7,0,1>,,,,,,,,,
2,18,(2,3),,<3.5,1,0,0,1>,,,,,,,,,
2,19,(3,2),,<2,1,0,0,1>,,,,,,,,,
2,20,(4,2),,<1,0,0,0,0>,,,,,,,,,
2,21,(1,2),outputNeighborhood,<4,0,0,0,0>,,,,,,,,,
2,21,(1,2),,<4,0,0,0,0>,,,,,,,,,
2,23,(0,1),,<500,2,0,0,0>,,,,,,,,,
2,25,(0,3),,<500,2,0,0,0>,,,,,,,,,
2,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
2,9,(3,1),,<2.5,0,0,0,0>,,,,,,,,,
2,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
2,11,(3,3),,<2.5,1,6,0,1>,,,,,,,,,
2,19,(3,2),,<2,1,7,0,1>,,,,,,,,,
2,20,(4,2),outputNeighborhood,<1,0,0,0,0>,,,,,,,,,
2,20,(4,2),,<1,0,0,0,0>,,,,,,,,,
3,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
3,2,(3,4),,<500,2,0,0,0>,,,,,,,,,
3,4,(2,0),,<500,2,0,0,0>,,,,,,,,,
3,6,(1,4),,<500,2,0,0,0>,,,,,P,,,,
3,7,(4,4),,<500,2,0,0,0>,,,,P,,P,,,
3,8,(2,4),,<500,2,0,0,0>,,,,P,,P,,,
3,9,(3,1),,<2.5,0,0,3,0>,,,,,P,,,,
3,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
3,11,(3,3),outputNeighborhood,<2.5,1,6,0,1>,,,,,,,,,
3,11,(3,3),,<2.5,1,6,0,1>,,,,,,,,,
3,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
3,13,(2,2),outputNeighborhood,<3,1,6,0,1>,,,,,,,,,
3,13,(2,2),,<3,1,6,0,1>,,,,,,,,,
3,14,(1,3),outputNeighborhood,<4.5,1,4,0,1>,,,,,,,,,
3,14,(1,3),,<4.5,1,4,0,1>,,,,,,,,,
3,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
3,16,(2,1),,<3.5,0,0,2,0>,,,,,,,,,
3,17,(1,1),outputNeighborhood,<4.5,1,7,0,1>,,,,,,,,,
3,17,(1,1),,<4.5,1,7,0,1>,,,,,,,,,
3,18,(2,3),,<3.5,1,0,0,1>,,,,,,,,,
3,19,(3,2),outputNeighborhood,<2,1,7,0,1>,,,,,,,,,
3,19,(3,2),,<2,1,7,0,1>,,,,,,,,,
3,20,(4,2),outputNeighborhood,<1,0,0,0,1>,,,,,,,,,
3,20,(4,2),,<1,0,0,2,0>,,,,,,,,,
3,21,(1,2),,<4,0,0,5,0>,,,,,,,,,
3,22,(0,0),,<500,2,0,0,0>,,,,,,,,,
3,23,(0,1),,<500,2,0,0,0>,,,,,,,,,
3,24,(0,4),,<500,2,0,0,0>,,,,,,,,,
3,25,(0,3),,<500,2,0,0,0>,,,,,,,,,
3,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
3,3,(3,0),,<500,2,0,0,0>,,,,,,,,,
3,4,(2,0),,<500,2,0,0,0>,,,,,,,,,
3,5,(4,0),,<500,2,0,0,0>,,,,,,,,,
3,9,(3,1),outputNeighborhood,<2.5,0,0,3,0>,,,,,,,,,
3,9,(3,1),,<2.5,1,0,0,1>,,,,,,,,,
3,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
3,11,(3,3),,<2.5,1,0,0,1>,,,,,,,,,
3,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
3,13,(2,2),,<3,0,0,0,1>,,,,,,,,,
3,14,(1,3),,<4.5,0,0,0,1>,,,,,,,,,
3,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
3,16,(2,1),outputNeighborhood,<3.5,0,0,2,0>,,,,,,,,,
3,16,(2,1),,<3.5,1,0,0,1>,,,,,,,,,
3,17,(1,1),,<4.5,0,0,0,1>,,,,,,,,,
3,18,(2,3),,<3.5,1,0,0,1>,,,,,,,,,
3,19,(3,2),,<2,0,0,0,1>,,,,,,,,,
3,20,(4,2),outputNeighborhood,<1,0,0,2,0>,,,,,,,,,
3,20,(4,2),,<1,1,0,0,1>,,,,,,,,,
3,21,(1,2),outputNeighborhood,<4,0,0,5,0>,,,,,,,,,
3,21,(1,2),,<4,1,0,0,1>,,,,,,,,,
3,23,(0,1),,<500,2,0,0,0>,,,,,,,,,
3,25,(0,3),,<500,2,0,0,0>,,,,,,,,,
4,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
4,2,(3,4),,<500,2,0,0,0>,,,,,,,,,
4,3,(3,0),,<500,2,0,0,0>,,,,,P7,,,,
4,4,(2,0),,<500,2,0,0,0>,,,,P8,,P6,,,
4,5,(4,0),,<500,2,0,0,0>,,,,P5,,P4,,,
4,6,(1,4),,<500,2,0,0,0>,,,,,,,,,
4,7,(4,4),,<500,2,0,0,0>,,,,,,,,,
4,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
4,9,(3,1),outputNeighborhood,<2.5,1,0,0,1>,,,,,,,,,
4,9,(3,1),,<2.5,1,5,0,1>,,,,,,,,,
4,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
4,11,(3,3),outputNeighborhood,<2.5,1,0,0,1>,,,,,,,,,
4,11,(3,3),,<2.5,1,4,0,1>,,,,,,,,,
4,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
4,13,(2,2),outputNeighborhood,<3,0,0,0,1>,,,,,,,,,
4,13,(2,2),,<3,0,0,0,0>,,,,,,,,,
4,14,(1,3),outputNeighborhood,<4.5,0,0,0,1>,,,,,,,,,
4,14,(1,3),,<4.5,0,0,0,0>,,,,,,,,,
4,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
4,16,(2,1),outputNeighborhood,<3.5,1,0,0,1>,,,,,,,,,
4,16,(2,1),,<3.5,1,8,0,1>,,,,,,,,,
4,17,(1,1),outputNeighborhood,<4.5,0,0,0,1>,,,,,,,,,
4,17,(1,1),,<4.5,0,0,0,0>,,,,,,,,,
4,18,(2,3),,<3.5,1,6,0,1>,,,,,,,,,
4,19,(3,2),outputNeighborhood,<2,0,0,0,1>,,,,,,,,,
4,19,(3,2),,<2,0,0,0,0>,,,,,,,,,
4,20,(4,2),outputNeighborhood,<1,1,0,0,1>,,,,,,,,,
4,20,(4,2),,<1,0,0,0,1>,,,,,,,,,
4,21,(1,2),outputNeighborhood,<4,1,0,0,1>,,,,,,,,,
4,21,(1,2),,<4,1,7,0,1>,,,,,,,,,
4,22,(0,0),,<500,2,0,0,0>,,,,,,,,,
4,23,(0,1),,<500,2,0,0,0>,,,,,,,,,
4,24,(0,4),,<500,2,0,0,0>,,,,,,,,,
4,25,(0,3),,<500,2,0,0,0>,,,,,,,,,
4,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
4,4,(2,0),,<500,2,0,0,0>,,,,,,,,,
4,6,(1,4),,<500,2,0,0,0>,,,,,,,,,
4,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
4,9,(3,1),,<2.5,1,5,0,1>,,,,,,,,,
4,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
4,11,(3,3),,<2.5,1,4,0,1>,,,,,,,,,
4,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
4,13,(2,2),outputNeighborhood,<3,0,0,0,0>,,,,,,,,,
4,13,(2,2),,<3,0,0,0,0>,,,,,,,,,
4,14,(1,3),outputNeighborhood,<4.5,0,0,0,0>,,,,,,,,,
4,14,(1,3),,<4.5,0,0,0,0>,,,,,,,,,
4,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
4,16,(2,1),,<3.5,1,8,0,1>,,,,,,,,,
4,17,(1,1),outputNeighborhood,<4.5,0,0,0,0>,,,,,,,,,
4,17,(1,1),,<4.5,0,0,0,0>,,,,,,,,,
4,18,(2,3),,<3.5,1,6,0,1>,,,,,,,,,
4,19,(3,2),outputNeighborhood,<2,0,0,0,0>,,,,,,,,,
4,19,(3,2),,<2,0,0,0,0>,,,,,,,,,
4,20,(4,2),,<1,0,0,0,0>,,,,,,,,,
4,21,(1,2),,<4,1,7,0,1>,,,,,,,,,
4,22,(0,0),,<500,2,0,0,0>,,,,,,,,,
4,23,(0,1),,<500,2,0,0,0>,,,,,,,,,
4,24,(0,4),,<500,2,0,0,0>,,,,,,,,,
4,25,(0,3),,<500,2,0,0,0>,,,,,,,,,
4,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
4,9,(3,1),,<2.5,1,5,0,1>,,,,,,,,,
4,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
4,11,(3,3),,<2.5,1,4,0,1>,,,,,,,,,
4,19,(3,2),,<2,0,0,0,0>,,,,,,,,,
4,20,(4,2),outputNeighborhood,<1,0,0,0,0>,,,,,,,,,
4,20,(4,2),,<1,0,0,0,0>,,,,,,,,,
5,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
5,2,(3,4),,<500,2,0,0,0>,,,,,,,,,
5,3,(3,0),,<500,2,0,0,0>,,,,,,,,,
5,4,(2,0),,<500,2,0,0,0>,,,,P,P,P,,,
5,5,(4,0),,<500,2,0,0,0>,,,,,P,P,,,
5,6,(1,4),,<500,2,0,0,0>,,,,,,,,,
5,7,(4,4),,<500,2,0,0,0>,,,,,,,,,
5,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
5,9,(3,1),outputNeighborhood,<2.5,1,5,0,1>,,,,,,,,,
5,9,(3,1),,<2.5,1,5,0,1>,,,,,,,,,
5,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
5,11,(3,3),outputNeighborhood,<2.5,1,4,0,1>,,,,,,,,,
5,11,(3,3),,<2.5,1,4,0,1>,,,,,,,,,
5,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
5,13,(2,2),,<3,0,0,2,0>,,,,,,,,,
5,14,(1,3),,<4.5,0,0,0,0>,,,,,,,,,
5,15,(1,0),,<500,2,0,0,0>,,,,,,,,,
5,16,(2,1),outputNeighborhood,<3.5,1,8,0,1>,,,,,,,,,
5,16,(2,1),,<3.5,1,8,0,1>,,,,,,,,,
5,17,(1,1),,<4.5,0,0,0,0>,,,,,,,,,
5,18,(2,3),outputNeighborhood,<3.5,1,6,0,1>,,,,,,,,,
5,18,(2,3),,<3.5,1,6,0,1>,,,,,,,,,
5,19,(3,2),,<2,0,0,4,0>,,,,,,,,,
5,20,(4,2),outputNeighborhood,<1,0,0,0,1>,,,,,,,,,
5,20,(4,2),,<1,0,0,0,0>,,,,,,,,,
5,21,(1,2),outputNeighborhood,<4,1,7,0,1>,,,,,,,,,
5,21,(1,2),,<4,1,7,0,1>,,,,,,,,,
5,23,(0,1),,<500,2,0,0,0>,,,,,,,,,
5,25,(0,3),,<500,2,0,0,0>,,,,,,,,,
5,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
5,9,(3,1),,<2.5,0,0,0,1>,,,,,,,,,
5,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
5,11,(3,3),,<2.5,1,0,0,1>,,,,,,,,,
5,13,(2,2),outputNeighborhood,<3,0,0,2,0>,,,,,,,,,
5,13,(2,2),,<3,1,0,0,1>,,,,,,,,,
5,14,(1,3),,<4.5,0,0,0,0>,,,,,,,,,
5,16,(2,1),,<3.5,1,0,0,1>,,,,,,,,,
5,17,(1,1),,<4.5,0,0,0,0>,,,,,,,,,
5,18,(2,3),,<3.5,1,0,0,1>,,,,,,,,,
5,19,(3,2),outputNeighborhood,<2,0,0,4,0>,,,,,,,,,
5,19,(3,2),,<2,1,0,0,1>,,,,,,,,,
5,20,(4,2),,<1,0,0,0,0>,,,,,,,,,
5,21,(1,2),,<4,0,0,0,1>,,,,,,,,,
6,1,(4,3),,<500,2,0,0,0>,,,,,,,,,
6,2,(3,4),,<500,2,0,0,0>,,,,,,,,,
6,3,(3,0),,<500,2,0,0,0>,,,,,,,,,
6,4,(2,0),,<500,2,0,0,0>,,,,,,,,,
6,5,(4,0),,<500,2,0,0,0>,,,,P7,P6,P,,,
6,6,(1,4),,<500,2,0,0,0>,,,,,P7,P6,,,
6,7,(4,4),,<500,2,0,0,0>,,,,,,,,,
6,8,(2,4),,<500,2,0,0,0>,,,,,,,,,
6,9,(3,1),outputNeighborhood,<2.5,0,0,0,1>,,,,,,,,,
6,9,(3,1),,<2.5,0,0,0,0>,,,,,,,,,
6,10,(4,1),,<500,2,0,0,0>,,,,,,,,,
6,11,(3,3),outputNeighborhood,<2.5,1,0,0,1>,,,,,,,,,
6,11,(3,3),,<2.5,1,6,0,1>,,,,,,,,,
6,12,(0,2),,<500,2,0,0,0>,,,,,,,,,
6,13,(2,2),outputNeighborhood,<3,1,0,0,1>,,,,,,,,,
6,13,(2,2),,<3,1,6,0,1>,,,,,,,,,
6,14,(1,3),,<4.5,0,0,0,0>,,,,,,,,,
